,,,,,,,,,,,,,,,
,,Destroying Automaton 1.10,,HEAT ENGAGERS,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_alisa
when sharing tech about this character
on Twitter",
,,ALISA BOSCONOVITCH,,1+2,_Safe mid Heat Engager,,,,df+2,"df+1,1 ⏵ f+2 ⏵ uf+1 T! ⏵ (run) uf+1",,,,,
,,by applay,,"3,2",_Useful for punish situations,,,,"uf+4,4","ws+1,2,3 ⏵ uf+1 T! ⏵ (run) uf+1",,,,,
,,,,"f+2,1",_Long range Heat Engager,,,,u+1+2,,,,,,
,HEAT SYSTEM (unique),,,uf+2,"_Long range Homing Attack, useful as a keepout tool",,,,"ws+2,3","SBT 3 ⏵ ws+1,2 ⏵ uf+1 T! ⏵ (run) uf+1",,,,LEGEND,
,"1. DES moves deal increased chip damage
2. Gains fast access to DBT stance with f+1+4",,,"DES f+2,1,2",_Heat Engager from stance,,,,CH d+3,ws+4 ⏵ uf+1 T! ⏵ (run) uf+1,,,,SBT,f+3+4
,,,,,,,,,against bears and Jack-8,"ws+1,2,3 ⏵ uf+1 T! ⏵ (run) uf+1",,,,DES,d+1+2
,,,,IMPORTANT MOVES,,,,,d+3+4,"ws+1,2,3 ⏵ 1 ⏵ u+3,2",,,,BKP,db+1
,COMMAND GRABS,,,1,_Quick jab attack to start offense,,,,LOW PARRY NEW,,,,,DBT,during DES f+3 (or f+4)
,uf+1+2,1+2 escape,,b+1,_Mid poke with good range,,,,,,,,,,or heat on f+1+4
,FC db+1+2,1+2 escape,,db+3,_Key low poke to harass the opponent,,,,MORE COMBOS,,,,,,
,,,,df+2,_Good keepout and whiff punisher,,,,"db+1,3","(run)  df+1,1 ⏵ uf+1 T! ⏵ (run) uf+1",,,,MATCHUP PUNISHMENT,
,DEFENSIVE OPTIONS,,,d+3,_Long ranged low. Mix it with other approach tools.,,,,"db+1,4","df+1,1 ⏵ f+2 ⏵ uf+1 T! ⏵ (run) uf+1",,,,Slide,"ws+1,2,3 float"
,b+1+3 ― b+2+4,Parries high attacks,,b+3,_Homing Attack with great range and pushback on block,,,,"DES uf+1+2,(1+2)",,,,,Asuka's b+3,"uf+3,2 (unless max range)"
