,,,,,,,,,,,,,,,,
,,ASUKA KAZAMA SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_asuka
to share tech about this character on Twitter",
,,,,,,,Spirited Peacemaker by Applay  ,,,"f+2,1","df+1 ⏵ f,f+2,3 ⏵ db+1,4 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,,
,,,,,,,,,,f+2,"f,f+2,3 ⏵ db+1,4 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,1+2,,,,,LEGEND,
,"Can perform Naniwa Gusto moves at any time
during Heat.",,,,d+2,   Safe mid attack to fish for a Heat activation.   ,,,,df+2,,,,,NW,Naniwa Gusto
,,,,,"f,f+2,1",   Long range heat engager.   ,,,,ws+3,,,,,,"hit the opponent with
certain moves to stock it"
,,,,,"db+1,2",   Useful in punish situations. The first hit high crushes.   ,,,,CH d+3+4,,,,,,
,COMMAND GRABS,,,,sidestep 2,   Very evasive option out of sidestep.   ,,,,CH uf+3,"db+4,3 ⏵ 2,1,2 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,,
,df+2+3,2 escape,,,f+1+3 ⏵ 2,   Safe mid follow-up from Destabilizer.   ,,,,"b+3,4,3","2,1,2 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,MATCHUP PUNISHMENT,
,uf+1+2,1+2 escape,,,,,,,,"CH f,f,f+1+2
(or NG f,f,f+1+2)","f,f+2,3 ⏵ 1,2,3 ⏵ f,f+2,1",,,,Slide,"ws+2,1 float"
,FC db+1+2,1+2 escape,,,RECOMMENDED MOVES,,,,,,,,,,Asuka's b+3,f+2 (except max range)
,f+1+3 (or f+2+4),unbreakable,,,1,   Single jab to check situations. It has useful extensions.   ,,,,LOW PARRY,,,,,"Kazuya db+1,2",f+2
,,,,,f+4,   Strong homing attack to check sidestepping opponents.   ,,,,,,,,,"Ling RDS f+3+4,3+4","1,2,4"
,DEFENSIVE OPTIONS,,,,df+1,"   Mid option to check situations and poke. The extensions 
 are risky, but useful against players that challenge it.   ",,,,MORE COMBOS,,,,,Ling AOP 3+4,"ws+2,1 float"
,b+1+3 (or b+2+4),Reversal,,,,,,,,"f,f+4","f,f+4 ⏵ f,f+2,3 ⏵ db+1,4 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,"evade Leo's b+1,4",sidestep left 2nd hit
,db+1+2,Has low parry properties,,,b+3,"   Good button to stop opponents from approaching. 
 Commit to just b+3 and try to hit confirm into b+3,4,3.   ",,,,uf+4,"f,f+2,3 ⏵ db+1,4 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,Paul's Deathfist,f+1+2
,b+2+3,Has kick parry properties,,,,,,,,FC db+1+2 (throw),,,,,Demoman (3rd hit),...
,f+2+3,Has punch parry properties,,,uf+3,"   A jumping counterhit launcher that can be used 
 for approaching at midrange.   ",,,,"CH db+4,3",,,,,"Alisa's b+3+4,(3+4)",df+2
,f+1+2,Power crush,,,,,,,,CH ws+1+2,,,,,"Claudio's f+2,2","f,f,f+1+2 (hard)"
,,,,,db+3 and FC df+2,"   Both lows create a bit of spacing on hit, which can be used 
 to bait the opponent into whiffing or falling for her keepout 
 buttons. Don't look at them as mixup tools but as a way 
 to annoy defensive opponents.   ",,,,"CH (df+1),4",,,,,"Kuma's f,f+2",f+2 (except max range)
,GUARANTEED FOLLOW-UPS,,,,,,,,,"CH (2,1),d+1+2",,,,,"Heihachi's f,f+2",f+1+2 ― uf+2
,f+4,"db+4,3 ⏵ f+2",,,,,,,,f+2+3 (after parry),,,,,Jack's d+1+2,...
,,"can also be converted into a 
combo with a tricky dash into 1+4",,,,,,,,db+1+2 (after parry),,,,,"Jack's df+1,2,1,2",...
,,,,,d+3+4,"    A fast low/high counterhit launcher that jumps quite fast 
 over low attacks. Useful against opponents overextending 
  in their pressure.   ",,,,df+3+4,"f,f+2,3 ⏵ 1,2,3 ⏵ f,f+2,1",,,,King's JGS 4,ws+3 T!
,"3+4
ws+1,4
CH 4",f+2 ― 3+4,,,,,,,,"CH f,f+1+2
(or NG f,f+1+2)",,,,,,
,,,,,,,,,,,,,,,,
,,,,,f+3,"   A mid attack that changes properties the longer you hold 
 the input for. Becomes an unblockable when fully charged. 
 Very useful in some okizeme setups.   ",,,,b+2+3 (after parry),"db+4,3 ⏵ 2,1,2 T! ⏵ f,f+4 ⏵ (long dash) f,f+2,1",,,,,
,"FC df+3 (hold)
(f,f+2),3 (hold)",(dash) f+2 ― (dash) df+3,,,,,,,,CH sidestep 4,,,,,,
,,,,,,,,,,heat on d+2~F,"b+2,4,3 ⏵ f,f+2,3 ⏵ db+1,4 T! ⏵ NG u+1+2 ⏵ f+3+4",,,,,
,"f,f+1
CH (1,1),3
CH (f+1),3","db+1,4 ― db+1,2 (heat)",,,,,,,,"heat on f,f+2,1~F",,,,,,
,,,,,PUNISHERS,,,,,heat on sidestep 2~F,,,,,,
,,,,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,heat on f+1+3 ⏵ 2~F,,,,,,
,d+1+2,(micro walk) f+2,,,10,"1,3",FC d+1,,,"NG f+2,1+2","f,f+2,3 ⏵ 1,2,3 ⏵ f,f+2,1",,,,,
,"CH f,f+3",(dash) f+3+4,,,,"1,2",,"2,1
db+1,2
f+2",,,,,,,,
,"CH (3),1",f+2 ― df+3,,,11,―,ws+4,,,WALL COMBOS,,,,,,
,CH FC df+2,"ws+1,4",,,12,"2,3",―,,,GENERAL,"1+4,2,4",,,,,
,,,,,13,"uf+1,2","ws+2,1",,,,"b+2,1,4 (delay last hit)",,,,,
