,,,,,,,,,,,,,,,,
,,BRYAN FURY SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_bryan
to share tech about this character on Twitter",
,,,,,,,Harbinger of Chaos by Applay  ,,,"f,b+2
(Jet Upper)","(dash) qcf+3,4 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,,
,,,,,,,,,,,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,u+4,"qcf+3,4 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,LEGEND,
,"Can perform Snake Eyes moves at any time
during Heat state.",,,,"1,2,4","   Counterhit confirmable jab string. Great tool to check 
 opponents overextending on their pressure.   ",,,,ws+1,,,,,SE,Snake Eyes
,,,,,,,,,,"f+4,1",,,,,,"granted after hitting
certain moves or taunting"
,,,,,"f,f+2",   Useful for long range punishment.   ,,,,CH b+1,,,,,,
,COMMAND GRABS,,,,db+1+2,   Safe mid heat engager.   ,,,,ws+2,"b+2,1,F  2,4 T! ⏵ b+2,1,F  2,2",,,,backsway,qcb motion
,uf+1+2,1+2 escape,,,qcf+1+2,   Long range safe mid heat engager with good tracking.   ,,,,CH 3+4,"uf+3 ⏵ db+2 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,Jet Upper,"f,b+2"
,FC db+1+2,1+2 escape,,,"sidestep 2,1",   Situational confirmable heat engager from sidestep.   ,,,,CH qcb+1,"(dash) b+2,4 ⏵ (dash) 1 ⏵ b+2,1,F  2,2",,,,Taunt,1+3+4
,,,,,,,,,,LOW PARRY,"b+2,4 ⏵ (dash) 1 ⏵ b+2,1,F  2,2",,,,,
,DEFENSIVE OPTIONS,,,,RECOMMENDED MOVES,,,,,,,,,,MATCHUP PUNISHMENT,
,b+1+3 (or b+2+4),Punch parry,,,1,"    Single jab to check situations. It has strong extensions 
 such as 1,2,1 to catch opponents challenging your jabs and 
 1,2,4 for a counterhit confirmable heat engager.   ",,,,MORE COMBOS,,,,,Slide,ws+3 float
,"SE f,f+1+2",Has parry properties,,,,,,,,qcb+4,"1+2,1 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,Asuka's b+3,qcf+1+2 (hard)
,uf+1 NEW,Power crush,,,,,,,,"(b+2),1","qcf+3,4 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,"Kazuya db+1,2","f+4,1"
,,,,,df+2,"   Mid poke with some extensions that are useful to stop 
 opponents from challenging it.   ",,,,CH f+3,,,,,"Ling RDS f+3+4,3+4","1,2,1"
,GUARANTEED FOLLOW-UPS,,,,,,,,,"CH (1,2),1",,,,,Ling AOP 3+4,ws+3 float
,"b+4
uf+3","f,f+2
f,b+2 (near the wall)",,,d+4,   A quick low poke that sets you back to midrange on hit.   ,,,,"CH (1+2),2",,,,,"evade Leo's b+1,4",sidestep left 2nd hit
,,,,,f+3,   Relatively fast mid counterhit launcher you can use at close.   ,,,,"CH (d+2),3",,,,,Paul's Deathfist,"f,f+2"
,"df+4
f,f+4
qcb+2,4
CH qcb+3
CH (1,2),3
CH (b+3),1+2
CH FC df+4 NEW
CH b,df+4","d+3+4
qcb+4",,,3+4,"   Mid counterhit launcher to control the midrange. During 
 Snake Eyes or Heat state, it gains an extension in 3+4,2 
 that is useful for pressuring opponents at the wall.   ",,,,"CH (df+2),3",,,,,Demoman (3rd hit),"f,f+2"
,,,,,,,,,,CH ws+3,"db+2 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,"Alisa's b+3+4,(3+4)",...
,,,,,,,,,,"CH ws+3,4",,,,,"Claudio's f+2,2","f,f+2 (deep dash)"
,,,,,qcb+3,"   Strong low move to harass the opponent and start pressure.  
 Use this against opponents that stand block too much.   ",,,,df+3,"(dash) b+2,4 ⏵ (dash) 1 ⏵ b+2,1,F  2,2		",,,,"Kuma's f,f+2",...
,,,,,,,,,,"SE (3+4),2 (hold)",,,,,"Heihachi's f,f+2","f,f+2"
,,,,,qcb+1,"   High counterhit launcher that can also be used to control 
 the midrange. Mix this option with qcf+1+2.   ",,,,"CH (4,3),4 (hold) NEW","uf+3 ⏵ db+2 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,Jack's d+1+2,"f,f+2 (deep dash)"
,,,,,,,,,,"heat on f,f+2~F","qcf+3,4 ⏵ qcf+3,4 ⏵ 4,1,B  1 T! ⏵ b+2,1,F  2,2",,,,"Jack's df+1,2,1,2",...
,"SE b+1+2 NEW
CH (4,3),4",qcf+1+2,,,qcb+4,   Useful to hit grounded opponents.   ,,,,heat on qcf+1+2~F,,,,,King's JGS 4,...
,,,,,"Taunt
(1+3+4)","   Bryan's taunt is an unique guard breaking move. Its use 
 is quite advanced and makes his wall pressure even scarier. 
 Not a requirement for new players, so see it as
 an end game goal.   ",,,,"heat on sidestep 2,1~F",,,,,,
,CH sidestep 1,db+1+2 (heat),,,,,,,,,,,,,,
,,,,,,,,,,WALL COMBOS,,,,,,
,TAUNT FOLLOW-UPS,,,,,,,,,GENERAL,"1+2,1 ⏵ uf+2,2,2,3 (or SE uf+2,2,2,2,3)",,,,,
,"1,4 or 2,3",easy,,,,,,,,,"b+2,1,F  1+2",,,,,
,Heat Smash,easy,,,PUNISHERS,,,,,WITH TAILSPIN,"uf+3+4 T! ⏵ 1+2,1 ⏵ uf+2,2,2,3 (or SE uf+2,2,2,2,3)",,,,,
,"SE f+2,1,2,3,2",hard,,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,,"d+3+4,2  T! ⏵ b+3,F  sidestep uf+2,2,2,3",,,,,
,b+4,hard,,,10,"1,4
2,3",FC d+1,,,,,,,,,
,"f,b+2",very hard,,,,,,"1,4
f,f+2
f+4,1",,COMBO ENDERS,,,,,,
,,,,,11,―,ws+4,,,HEAT BURST ENDER,"After tornado, you can get a strong tailspin with (b+2),f+4
into Heat Burst",,,,,
,,,,,12,"4,1 NEW",ws+3,,,,,,,,,
,,,,,13,"uf+2,2,2,3","FC df+2,1",,,WALL CARRY OPTIONS,"After tornado, use b+3,F  2,1 for long wallsplat and db+2
for when it's already close to the wall",,,,,
,,,,,14,"f,b+2",―,,,,,,,,,
,,,,,15,―,ws+1,,,WALL / FLOOR BREAK,"qcf+1+2 to break the wall and qcf+2,2 to floor break",,,,,
,,,,,18,"f+4,1 (range)",―,,,,,,,,,
,,,,,19,―,ws+2,,,,,,,,,
