,,,,,,,,,,,,,,,,
,,CLAUDIO SERAFINO SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_claudio
to share tech about this character on Twitter",
,,,,,,,Banisher of Demons by Applay  ,,,uf+4,"f,f+4 ⏵ b+3 ⏵ df+3,2 ⏵ b+4,4 T! ⏵ f,f,f+2",,,,,
,,,,,,,,,,"df+1,2",,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,CH df+2,,,,,LEGEND,
,"Can perform Starburst moves at any time
during Heat.",,,,"f,f,f+2","   Very damaging high attack you can use for approaching 
 and pressuring opponents. Be careful not to become too 
 predictable with it, though.   ",,,,"STB f+1+2,1+2",,,,,STB,Starburst
,,,,,,,,,,during Starburst,"f,f+4 ⏵ b+3 ⏵ f+2 ⏵ 2,(1),2 ⏵ STB d+1,2 T! ⏵ f,f,f+2",,,,,"granted after hitting
opponnents with 
certain moves"
,,,,,,,,,,ws+2,"b+3 ⏵ b+3 ⏵ 2,(1),2 ⏵ d+1,2 T! ⏵ f,f,f+2",,,,,
,COMMAND GRABS,,,,uf+2,"   A plus on block mid heat engager. Avoid using it against 
 opponents that sidestep a lot, as this move is very linear.   ",,,,during Starburst,"2,1,2 ⏵ 2,(1),2 ⏵ STB d+1,2 T! ⏵ f,f,f+2",,,,,
,uf+1+2,1+2 escape,,,,,,,,f+3+4,"db+1+2 T! ⏵ f,f+4 ⏵ b+3 ⏵ f+2 ⏵ b+4,2",,,,,
,,,,,"3,2",   Mostly useful for punish situations.   ,,,,"STB db+1+2
(or CH db+1+2)","f,f+4 ⏵ b+3 ⏵ df+1 ⏵ f+2 ⏵ b+4,2",,,,MATCHUP PUNISHMENT,
,DEFENSIVE OPTIONS,,,,"2,1,2","   Useful in combos and against players that like to challenge 
 2,1 on block.   ",,,,,,,,,Slide,ws+1 float
,b+3+4,Evasive attack,,,,,,,,LOW PARRY,,,,,Asuka's b+3,"1+2,1+2,2 (close)"
,b+1+2,Power crush,,,"b+4,2","   A long range mid/mid heat engager. Great whiff punisher 
 especially during heat as the heat dash version launches.   ",,,,,,,,,"Kazuya db+1,2",f+3+4
,,,,,,,,,,MORE COMBOS,,,,,"Ling RDS f+3+4,3+4",uf+4
,GUARANTEED FOLLOW-UPS,,,,,,,,,"CH b+4,4","b+3 ⏵ df+3,2 ⏵ b+4,4 T! ⏵ f,f,f+2",,,,Ling AOP 3+4,ws+1 float
,CH db+3 NEW,"ws+1,1 ― STB ws+1,2",,,RECOMMENDED MOVES,,,,,"CH STB 4,2","(run) f,f+4 ⏵ b+3 ⏵ f+2 ⏵ b+4,2",,,,"evade Leo's b+1,4",sidestep left 2nd hit
,"CH f,f+4","d+1+2 ― f+2,2
STB 4,2",,,1,   Single jab to check situations and start your offense.   ,,,,"CH STB 4,3","3,2 ⏵ STB d+1,2 T! ⏵ f,f,f+2",,,,Paul's Deathfist,"b+4,2"
