,,,,,,,,,,,,,,,,
,,CLIVE ROSFIELD SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_clive
to share tech about this character on Twitter",
,,,,,,,Shield of the Undying Flame by Applay  ,,,df+2,"d+1 ⏵ ws+4 ⏵ db+1+2,1 ⏵ updraft 2,2 T! ⏵ 
df+1,2~F ⏵ PHX 2,1",,,,,
,,,,,,,,,,ws+2,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,f+3,,,,,LEGEND,
,"Gains access to several Ifrit moves
Torgal's attack rush moves are enhanced",,,,f+1+2,"_Extremely long range attack that enters Heat 
_useful in the neutral, as whiff punisher and in combos. ",,,,"CH f,f+2",,,,,PHX,f+4
,,,,,,,,,,CH db+4,"b+2 ⏵ d+1 ⏵ ws+4 ⏵ 4,4~F ⏵ PHX 3,1+2",,,,BHT,3+4
,,,,,"f+2,2,2",_Counterhit confirmable heat engager. ,,,,3+4 (low parry),,,,,updraft,(uf) during jump
,ZANTETSUKEN,,,,1+2 (or ws+1+2),  Useful in punish situations and as a counter poke.   ,,,,LOW PARRY,,,,,,
,"Gain levels by using specific moves
Consume your levels to enhance his 1+4 attack",,,,PHX 1+2,_Safe heat engager from stance. ,,,,,,,,,MATCHUP PUNISHMENT,
,,,,,"sidestep 2,1",_Situation confirmable heat engager. ,,,,IMPORTANT COMBOS,,,,,Slide,ws+4 float
,,,,,,,,,,sidestep 1+2,"d+1 ⏵ ws+4 ⏵ db+1+2,1 ⏵ updraft 2,2 T! ⏵ 
df+1,2~F ⏵ PHX 2,1",,,,Asuka's b+3,f+1+2
,COMMAND GRABS,,,,RECOMMENDED MOVES,,,,,CH b+1,,,,,"Kazuya db+1,2",f+1+2
,uf+1+2,1+2 escape,,,1,_Quick jab to start offense ,,,,CH b+4,,,,,"Ling RDS f+3+4,3+4","1,2 ― df+2 ― f+1+2"
,,,,,df+1,_Mid poke to harass the opponent when upclose ,,,,"CH (3),3","BHT 1 ⏵ PHS 2,1 T! ⏵ df+1,2~F ⏵ PHX 2,1",,,,Ling AOP 3+4,ws+4 float
,DEFENSIVE OPTIONS,,,,d+1,_Low poke to harass the opponent ,,,,"CH (df+1,4),3",,,,,"evade Leo's b+1,4",b+3 parry the 2nd hit
,b+1+2,Power crush,,,db+4,_Counterhit launching sweep ,,,,BHT 3,"db+1+2,1 ⏵ updraft 2,2",,,,Paul's Deathfist,f+1+2
,3+4,Has low parry properties,,,b+2~F,_Very long range high attack that can shift to PHS ,,,,"CH db+1,1",,,,,Demoman (3rd hit),f+1+2
,b+3,Parry,,,b+4,_Good button to deal with grounded opponents ,,,,CH d+1+2,"b+2 ⏵ d+1 ⏵ ws+4 ⏵ 4,4~F ⏵ PHX 2,1",,,,"Alisa's b+3+4,(3+4)",...
,,press 2 or 1+2 on successful parry,,,"f,f+2",_Safe ranged attack to build your Zantetsuken levels ,,,,"CH PHX 2,1","b+2 ⏵ d+1 ⏵ ws+4~F ⏵ PHX 2,1",,,,"Claudio's f+2,2",b+1+2
,,,,,PHX,"_Learn your stance options for mixing the opponent 
 especially after a blocked b+2~F 
 you can start with just PHS 2 and PHS 4 ",,,,heat on f+1+2~F,"b+2 ⏵ db+1+2,1 ⏵ updraft 2,2 T! ⏵ df+1,2~F ⏵ PHX 2,1",,,,"Kuma's f,f+2",f+1+2
,GUARANTEED FOLLOW-UPS,,,,,,,,,"heat on sidestep 2,1~F",,,,,"Heihachi's f,f+2",f+1+2
,"f,f,f+2~F","PHX 2,1",,,,,,,,"heat on CH f+2,2,2~F",,,,,Jack's d+1+2,f+1+2
,b+2~F,"PHX 1+2 (heat) ― PHX 2,1
PHX 3,1+2 (zantetsuken)",,,,,,,,"heat on (f+2,2),1 (hold)","db+1+2,1 ⏵ updraft 2,2 T! ⏵ df+1,2~F ⏵ PHX 2,1",,,,"Jack's df+1,2,1,2",f+1+2
,,,,,PUNISHERS,,,,,,,,,,King's JGS 4,FC df+2 ― cc d+1+2
,"heat on 
(f+2,2),1 (hold)
(guard break)","1,2",,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,WALL COMBOS,,,,,,
,,,,,10,"1,2
1,1~F",FC d+1,,,GENERAL,"df+1,2~F ⏵ PHX 2,1",,,,,
,,,,,,,,"1+2
f+1+2
df+2",,,"f+2,1 ⏵ 1+2",,,,,
,"heat on 1+2~F
heat on PHX 1+2~F","df+3,1",,,11,―,ws+4~F,,,WITH TORNADO,"d+1+2 T! ⏵ df+1,2~F ⏵ PHX 2,1",,,,,
,,,,,12,"2:1
4,2 (range)",―,,,,"df+1,4,3 T! ⏵ BHT 2",,,,,
,"CH db+1
CH (2,2),1
CH (ws+1),2",b+4,,,,,,,,,"db+1,1+2 T! ⏵ (Zantetsuken LVL 2+) 1+4",,,,,
,,,,,13,1+2 (heat),"ws+1,2
ws+1+2 (heat)",,,,,,,,,
,,,,,,,,,,COMBO ENDERS,,,,,,
,CH PHX 2,1+2 (heat),,,14,"df+1,2:1",―,,,HEAT BURST ENDER,"After T!, you can b+2 ⏵ Heat Burst ⏵ ender",,,,,
,CH PHX 4,"ws+1+2 (heat) ― ws+1,2",,,15,df+2,ws+2,,,WALL CARRY OPTIONS,"b+2 for short distance, df+1,4 and db+2,1 for medium distance",,,,,
,,,,,,,,,,WALL / FLOOR BREAK,...,,,,,
