,,,,,,,,,,,,,,,,
,,EDDY GORDO SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_eddy
to share tech about this character on Twitter",
,,,,,,,Indomitable Flash by Applay  ,,,df+3,"f+2 ⏵ b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T!⏵ db+4,4",,,,,
,,,,,,,,,,ws+2,"b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T!⏵ db+4,4",,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,"ws+1,3","RLX 3+4 T! ⏵ uf+4 ⏵RLX 2,4~D ⏵ RLX 3,3",,,,LEGEND,
,"Gains acess to 3+4 and qcf+4.
Heat activation raises 1 level of Mandinga.",,,,f+3+4,"   Safe mid heat engager with a lot of range, but quite linear.  ",,,,sidestep 3+4,"ws+3 T! ⏵ uf+4 ⏵ RLX 2,4~D ⏵ RLX 3,3",,,,RLX,d+3+4
,,,,,"4,4","   The first hit alone is a good mid poke. The whole string is
 natural on counterhit and a good way to fish for activation.   ",,,,ws+3,"uf+4 ⏵ RLX 2,4~D ⏵ RLX 2,4,4",,,,HSP,f+1+2 (or b+1+2)
,,,,,,,,,,LOW PARRY,,,,,"MND
(Mandinga)","hit opponents with
certain attacks to raise
it's level (up to 2)"
,MANDINGA (MND),,,,"uf+1,4","   Mostly useful in punish situations or as a guaranteed
 follow-up in certain situations.   ",,,,,,,,,,
,"Gain a level upon hitting opponents 
with certain moves and/or after activatin Heat.
Level 1: Gainst access to HSP b+4 and HSP 3+4
Level 2: Further enhances their properties.",,,,,,,,,MORE COMBOS,,,,,,
,,,,,"RLX 4,3","   Useful as a mixup tool during RLX and as a guaranteed 
 follow-up after a CH f,f+3.   ",,,,"f,f+4","RLX 2 ⏵ b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T! ⏵ db+4,4",,,,,
,,,,,,,,,,u+1+2,"b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T!⏵ db+4,4",,,,MATCHUP PUNISHMENT,
,,,,,d+1+3 (throw),"   Can be used as a punish in very specific situations, but is
 mostly useful as a guarateed follow-up after certain moves.   ",,,,RLX 3+4,,,,,Slide,ws+3 float
,,,,,,,,,,uf+3+4,,,,,Asuka's b+3,"db+4,4"
,COMMAND GRABS,,,,,,,,,df+3+4 (2nd hit only),,,,,"Kazuya db+1,2",...
,uf+1+2,1+2 escape,,,RECOMMENDED MOVES,,,,,CH FC df+3,"RLX 3+4 T! ⏵ uf+4 ⏵RLX 2,4~D ⏵ RLX 2,4,4",,,,"Ling RDS f+3+4,3+4",...
,RLX uf+1+2,1+2 escape,,,1,"   Fast attack to check situations and start offense. The 1,2,3 
 extension can be counterhit confirmed, making it good for  
 challenging situations.   ",,,,u+[ 4~3 ],,,,,Ling AOP 3+4,...
,HSP 1+3 (or 2+4),unescapable,,,,,,,,"(1,2),[ 4~3 ]",,,,,"evade Leo's b+1,4",...
,d+1+3 (or d+2+4),unescapable on crouching opp.,,,,,,,,"(b+3),3",,,,,Paul's Deathfist,"db+4,4"
,,,,,df+1,   Mid poke to check situations.  ,,,,"CH b+3,3","RLX 3+4 T! ⏵ uf+4 ⏵RLX 2,4~D ⏵ RLX 3,3",,,,Demoman (3rd hit),...
,DEFENSIVE OPTIONS,,,,b+1,"   A mid poke with a few extensions. On counterhit, b+1,4
 can be confirmed into b+1,4,3+4 for a guaranteed follow-up.   ",,,,"CH (2,1),4","b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T!⏵ db+4,4",,,,"Alisa's b+3+4,(3+4)",...
,u+2,Evasive attack,,,,,,,,CH HPS b+3,,,,,"Claudio's f+2,2",...
,db+1+2,Evasive attack,,,"f,f+3","   Long range low option to start  your RLX stance pressure. 
 It's also very rewarding on counterhit.   ",,,,"CH db+2,3","uf+4 ⏵ RLX 2,4~D ⏵ RLX 2,4,4",,,,"Kuma's f,f+2",...
,b+3+4,Power crush,,,,,,,,"CH (f+2),4",,,,,"Heihachi's f,f+2",...
,,,,,qcb+4,"   Far reaching high homing attack that leaves you at an 
 advantage on block.   ",,,,"CH (uf+3),4",,,,,Jack's d+1+2,"db+4,4"
,GUARANTEED FOLLOW-UPS,,,,,,,,,"CH HSP 4,2",,,,,"Jack's df+1,2,1,2",...
,"uf+2
heat on f+3+4~F",f+3+4 ― qcf+3,,,"f,f+3+4","   Mid attack with a lot of range that can be used to pressure 
 the opponent.   ",,,,CH RLX 3,"ws+3 T! ⏵ uf+4 ⏵RLX 2,4~D ⏵ RLX 2,4,4",,,,King's JGS 4,ws+3 float
,,,,,,,,,,heat on f+3+4~F,"df+2 ⏵ df+2 ⏵ b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T!⏵ 
db+4,4",,,,,
,"CH f,f+3","RLX 4,3 (heat) ― d+2+4",,,sidestep 3+4,"   Great keepout launcher. Use this when you read your 
 opponent wants to approach you.   ",,,,"heat on RLX 4,3~F",,,,,,
,"CH d+4,3",d+1+3 (heat) ― d+2+4,,,,,,,,"heat on CH 4,4~F",,,,,,
,"db+1+2
HSP 1+2
CH 1+2","uf+1,4 (heat) ― df+1,3",,,heat on 3+4,"   When Heat is active, you gain access to this mid launcher 
 that can be used to start your HSP stance pressure.
 It's specially strong when Mandinga level is maxed.   ",,,,heat on 3+4,"RLX 2 ⏵ b+3,3 ⏵ RLX 2,4~D ⏵ RLX 3,3",,,,,
,,,,,,,,,,MND lvl 2 HSP b+4,"b+3,3 ⏵ RLX 2,4~D ⏵ RLX 2 ⏵ qcf+3 T!⏵ db+4,4",,,,,
,,,,,,,,,,,,,,,,
,"ub+3
CH uf+3
CH db+3","f,f+4 ― qcf+3",,,,,,,,WALL COMBOS,,,,,,
,,,,,PUNISHERS,,,,,GENERAL,"b+2,3,3",,,,,
,,,,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,,"RLX 2,4,4",,,,,
,"CH HSP 1
CH b+1,4,3+4",RLX 3+4,,,10,"1,2~F
1,3",FC d+1,,,,MND lvl 1 or above (f+1+2) HSP b+4~D ⏵ RLX 3+4,,,,,
,,,,,,,,"1,2
df+3
db+4,4 (range)",,WITH TAILSPIN,"qcf+3 T! ⏵ b+2,3,3",,,,,
,"CH HSP 4
CH FC df+4",HSP 1,,,11,―,"ws+4,4",,,,"df+1,3 T! ⏵ db+3+4,4,3",,,,,
,,,,,12,"2,3",―,,,,"MND lvl 1 or above df+1,3 T! ⏵ (f+1+2) HSP b+4~D ⏵ RLX 3+4",,,,,
,,,,,13,"df+1,3","ws+1,3",,,,,,,,,
,,,,,,,"on standing
opponents only",,,COMBO ENDERS,,,,,,
,,,,,,,,,,HEAT BURST ENDER,"After tornado, end the combo with uf+4 into heat burst
to extend them. For launchers that instantly tornado
you can activate heat burst after RLX 2,4~D",,,,,
,,,,,14,"uf+1,4 (heat)
uf+1,3 (mandinga)","uf+1,4 (heat)
uf+1,3 (mandinga)",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,15,df+3,ws+2,,,WALL CARRY OPTIONS,"You can use 4,4 for medium distances or uf+3+4
for short carry. uf+4 also works and sets up RLX wall combo.",,,,,
,,,,,19,―,ws+3,,,,,,,,,
,,,,,,,,,,WALL / FLOOR BREAK,"Use f+3+4 to break walls and u+1+2 or f,f+3+4 for floor break. ",,,,,
