,,,,,,,,,,,,,,,,
,,FAHKUMRAM SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_fahk
to share tech about this character on Twitter",
,,,,,,,Thunderstruck by Applay  ,,,"df+2,3","df+[ 3~4 ] ⏵ 3,[ 4~4 ] ⏵ 3,[ 4~3 ] T! ⏵ db+4 ⏵ df+4,3",,,,,
,,,,,,,,,,ws+3,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,"b,f+4",,,,,LEGEND,
,"Can perform Garuda Force moves at any time
during Heat.",,,,b+3,"   Homing high heat engager to check oppents trying to 
 sidestep your other options.   ",,,,"f,f+1+2",,,,,GRF,Garuda Force
,,,,,,,,,,CH 3+4,,,,,,"hit the opponent with
certain moves to stock it"
,,,,,f+1+2,"   Mid heat engager with a lot of range. Very linear, so it's best 
 used after conditioning them not to sidestestep with b+3.   ",,,,LOW PARRY,"db+4 ⏵ 3,1 ⏵ f+3,2,1",,,,,
,COMMAND GRABS,,,,,,,,,,,,,,RMS,after guard break
,uf+1+2,1+2 escape,,,"df+1,4","   A safe but duckable high df+1 extension. Useful for whiff 
 punishment situations.   ",,,,MORE COMBOS,,,,,,
,RMS 1+3 (or 2+4),unescapable,,,,,,,,uf+4,"(dash) db+4 ⏵ 3,1 ⏵ f+3,2,1",,,,MATCHUP PUNISHMENT,
,,,,,uf+3,"   Jumping knee attack. It goes over lows and has great range 
 however it's unsafe on block. Useful to extend combos 
 as a heat dash move or punish situations.   ",,,,"(3),[ 4~3 ] (hold)",,,,,Slide,ws+4 float
,DEFENSIVE OPTIONS,,,,,,,,,"(4),[ 3~4 ] (hold)",,,,,Asuka's b+3,b+1 ― uf+3
,b+1+3,Kick parry,,,,,,,,"GRF (3),[ 4~3 ] (hold)","df+[ 3~4 ] ⏵ 3,[ 4~4 ] ⏵ 3,[ 4~3 ] T! ⏵ db+4 ⏵ df+4,3",,,,"Kazuya db+1,2","b,f+4 ― uf+3"
,b+2+4,Punch parry,,,"ws+1,2",   Mostly useful in punish situations.   ,,,,"GRF (4),[ 3~4 ] (hold)",,,,,"Ling RDS f+3+4,3+4","1,2,1,4"
