,,,,,,,,,,,,,,,,
,,HEIHACHI MISHIMA SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_hei
to share tech about this character on Twitter",
,,,,,,,Resurrected King of Iron Fist  by Applay  ,,,"EWGF
(f,n,d,df+2)","EWGF ⏵ f+3 ⏵ df+1 ⏵ f+3~D FUJ.2 ⏵ f,n,d,df+4,3",,,,,
,,,,,,,,,,,,,,,,
,HEAT MECHANICS,,,,HEAT ENGAGERS,,,,,FC df+2,,,,,TK8 LIBRARY GUIDES,
,"Can perform EWGF and OTGF without perfect input 
Gains access to uf+4,1 ― d+3,2 and b+3,3,2 
Gains access to a new power crush in db+1+2 
FUJ stance gains reversal properties ",,,,qcf+2,"_Useful for block and whiff punishment. Can also be used 
 in combos. ",,,,"f,f+2",,,,,,Wall Combos
,,,,,,,,,,wall carry route,"EWGF ⏵ f+3~D (df) 4,4,1 ⏵ f+3~D FUJ.2 T! ⏵ f,n,d,df+4,3",,,,,Block Punish Guide
,,,,,"f,f+1+2","  Safe mid attack for approach, also useful as a punish 
 in specific cases.   ",,,,beginner route,"uf+4 ⏵ f+3~D FUJ.2 T! ⏵ uf+4,3 ⏵ uf+2,1",,,,,
,,,,,,,,,,"f,f+3","(dash) EWGF ⏵ f+3 ⏵ df+1 ⏵ f+3~D FUJ.2 ⏵ f,n,d,df+4,3",,,,LEGEND,
,,,,,"uf+2,1","  Good whiff punisher, especially when Heat is active.   ",,,,"uf+3,4",,,,,EWGF,"f,n,d,df+2 (perfect)"
,WARRIOR INSTINCT,,,,b+1+2,"_Has sabaki properties, great defensive tool. ",,,,CH b+4,,,,,OTGF,"f,n,df+1"
,"Gain a stack each time you activate Heat 
Warrior Instinct is available after 3 stacks ― press 1+4 ",,,,"FUJ.1,1","_Heat Engager from stance. Mostly useful as a guaranteed 
_follow-up after f+3~D on hit. ",,,,LOW PARRY,"b+2 (perfect) ⏵ f,n,d,df+4,4,1 ⏵ 1,b+2,4",,,,,"and f,n,d,df+1 (perfect)"
,,,,,,,,,,,,,,,RAI,f+3+4
,,,,,,,,,,MORE COMBOS,,,,,FUJ,d+1+2
,COMMAND GRABS,,,,RECOMMENDED MOVES,,,,,4 (hold),"b+2 (perfect) ⏵ f,n,d,df+4,4,1 ⏵ 1,b+2,4",,,,crouch dash,"f,n,d,df motion"
,uf+1+2,1+2 escape,,,1,"  Fast attack to start offense and check situations.
 Both 1,1 and 1,b+2 are great extensions for poking.  ",,,,"(1,2),4 (hold)",,,,,,
,RAI.1+3 (or 2+4),unescapable,,,,,,,,FUJ 2,,,,,MATCHUP PUNISHMENT,
,FUJ.1+3 (or 2+4),unescapable,,,df+1,"  Mid attack to check situations.
 df+1,1 can be used to check sidestepping opponents
 while df+1:2 can be charged and is useful for pressure.  ",,,,RAI 2,"(dash) EWGF ⏵ f+3 ⏵ df+1 ⏵ f+3~D FUJ.2 ⏵ f,n,d,df+4,3",,,,Slide,ws+4 float
,,,,,,,,,,CH 4,,,,,Asuka's b+3,"qcf+2 ― f,f+1+2"
,DEFENSIVE OPTIONS,,,,,,,,,"CH (1,2),4",,,,,"Kazuya db+1,2","qcf+2 ― f,f+1+2"
,uf+1,Power crush,,,f+4,"  Useful button to pressure opponents at the wall.
 It allows you some follow-ups on counterhit and when it 
 hits crouching opponents. 
 You can shift to FUJ stance by pressing down.   ",,,,"CH (b+3),2",,,,,"Ling RDS f+3+4,3+4","df+3,1+2,qcf+1"
,heat on db+1+2,Power crush,,,,,,,,"CH (df+4),2",,,,,Ling's AOP 3+4,ws+4 float
,ub+2,Has punch parry properties,,,,,,,,"(f,n,d,df+4),3",,,,,Ling's ub+3,"f+3,D"
,b+1+2,Mid and High attack reversal,,,,,,,,"(f,n,d,df+4),4,n,4","f+3 ⏵ df+1 ⏵ f+3~D FUJ.2 ⏵ f,n,d,df+4,3",,,,"evade Leo's b+1,4",ssl before 2nd hit
,,,,,b+4,  Your main tool to fish for counterhits. Careful not to whiff.   ,,,,"CH f,n,d,df+4","f,n,d,df+4,n,4 ⏵ f+3 ⏵ df+1 ⏵ f+3~D FUJ.2 ⏵ f,n,d,df+4,3",,,,Paul's Deathfist,"qcf+2 ― f,f+1+2"
,,,,,"f,f+2",  A risky launcher that is useful to hit grounded opponents.   ,,,,"heat on uf+2,1~F","EWGF ⏵ 1 ⏵ df+1 ⏵ f+3~D  DF+4,4,1 ⏵ f+3~D FUJ.2 T!
⏵ sidestep.2~F 1",,,,Demoman (3rd hit),qcf+2
