,,,,,,,,,,,,,,,
,,Blood Talon 1.8,,HEAT ENGAGERS,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_hwo
when sharing tech about this character
on Twitter",
,,HWOARANG,,"f,f+4","_Safe mid heat enganger, useful for approaching",,,,df+2,"f+4⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,,
,,by applay,,df+3+4,_Useful in punish situations,,,,b+3,,,,,,
,,,,LFS f+3,_Heat Engager from stance,,,,"ws+2,3",(whiff LFS 1) ⏵ u+3 ⏵ LFS uf+3+4~F ⏵ uf+3+4~F ⏵ uf+3+4,,,,,
,HEAT SYSTEM (unique),,,RFS b+3,_Heat Engager from stance,,,,u+3+4,"db+4~F⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ LFS uf+4 T! ⏵ uf+3,4,3",,,,LEGEND,
,1. Some RFS stance moves are enhanced,,,RFF df+3,_Homing Attack useful for approaching,,,,LOW PARRY,f+4⏵ RFS [ 3~4 ] ⏵ uf+3+4~F ⏵ uf+3+4~F ⏵ uf+3+4,,,,LFF,default stance
,,,,,,,,,"JFSR 
(f,n,df+4)","3+4 
⏵ RFF [ 3~4 ] ⏵ f+4 ⏵ RFS [ 3~4 ] ⏵ d+4,4 T! ⏵ uf+3,4,3",,,,RFF,3+4
,,,,IMPORTANT MOVES,,,,,,,,,,LFS,f+3
,COMMAND GRABS,,,1,_Quick jab to start your offense and check situations,,,,"f,n,d,df+4","3+4 ⏵ RFF [ 3~4 ] ⏵ (dash) 4,4,u+4,4 T! ⏵ uf+3,4,3",,,,RFS,"f,n,4"
,qcb+3,1 escape,,df+1,_Mid attack to check situations,,,,,,,,,JFSR,"f,n,df+4"
,"2+4,b",2 escape,,db+3,_Low poke to harass opponents,,,,MORE COMBOS,,,,,,
,f+2+3,1+2 escape,,"d+3,4",_Low string that shifts to RFS for pressure,,,,u+3,"LFS d+3,4 ⏵ RFS 1 ⏵ d+4,4 T! ⏵ uf+3,4,3",,,,MATCHUP PUNISHMENT,
