,,,,,,,,,,,,,,,,
,,KAZUYA MISHIMA SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_kaz
to share tech about this character on Twitter",
,,,,,,,Cold-Blooded Oppressor by Applay  ,,,"EWGF
(f,n,d,df+2)","EWGF ⏵ (short dash)  b+2,2 ⏵ df+1,df+2 T! ⏵ b+2,2,1+2",,,,,
,,,,,,,,,,,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,"f,f+3","f,n,d,df+1+2 T! ⏵ (1,2),4,3 ⏵ (short dash)  b+2,2,1+2",,,,LEGEND,
,"Can perform EWGF without perfect input
Can perform Roar of the Devil 1+4
Some moves are enhanced during Heat",,,,"f,f+2","   Long range attack you can use for approach and control 
 the midrange space.  ",,,,ws+2,,,,,EWGF,"f,n,d,df+2 (perfect)"
,,,,,,,,,,CH df+2,,,,,PEWGF,"f,n,df+2"
,,,,,"db+1,2","   Mostly useful for punishment and okizeme. The heat dash 
 situation allows you to safely block confirm this move.   ",,,,"CH f,f+4","df+3,2,1 (hold) T! ⏵ b+2,2,1+2",,,,Hellsweep,"f,n,d,df+4,1"
,,,,,,,,,,"ws+1,2","ws+1+2 ⏵ b+2,2 ⏵ b+2,2,1+2",,,,Devil Form,activate heat
,COMMAND GRABS,,,,"df+1,2",  Useful for punishing and extending combos.  ,,,,LOW PARRY,,,,,,
,"f,f+1+2",1+2 escape,,,b+1+2,  Safe mid heat engager that is slightly evasive.  ,,,,,,,,,MATCHUP PUNISHMENT,
,FC db+1+2,1+2 escape,,,b+4,  High heat engager with Homing properties.  ,,,,MORE COMBOS,,,,,Slide,ws+1+2 float
,,,,,,,,,,CH d+1+2,"ws+1+2 ⏵ b+2,2 ⏵ df+1,df+2 T! ⏵ b+2,2,1+2",,,,Asuka's b+3,f+3
,DEFENSIVE OPTIONS,,,,RECOMMENDED MOVES,,,,,"CH (1,2,4),3","f,n,d,df+1+2 T! ⏵ (1,2),4,3 ⏵ (short dash)  b+2,2,1+2",,,,"Kazuya db+1,2","f+3 ― f,f+2"
,f+1+2,Has punch parry properties,,,1,"  Fast attack to start offense and check situations.
 1,1 can be used for poking and hit confirm into 1,1,2.  ",,,,"CH (df+1),df+2","EWGF ⏵ (short dash)  b+2,2 ⏵ df+1,df+2 T! ⏵ b+2,2,1+2",,,,"Ling RDS f+3+4,3+4","1,2,4,3"
,f+2,Power crush,,,,,,,,"CH (2),2","(dash)  df+3,2,1 T! ⏵ b+2,2,1+2",,,,Ling AOP 3+4,ws+1+2 float
,heat on 1+4,Power crush,,,df+2,"  Homing counterhit launcher. Slightly unsafe on block
 so use it alongside a proper read on your opponent.  ",,,,CH sidestep 3,,,,,"evade Leo's b+1,4",...
,,,,,,,,,,heat on b+4~F,"EWGF ⏵ EWGF ⏵ b+2,2 ⏵ df+1,2 T! ⏵ b+2,2,1+2",,,,Paul's Deathfist,f+3
,GUARANTEED FOLLOW-UPS,,,,f+4,"   Good button for pressure up close and at the wall.
 While the advantage is not huge, it feels like and you can 
 often overextend after it. If the opponent likes to step or 
 challenge it, use df+2 to condition them to stand still.   ",,,,"heat on f,f+2~F",,,,,Demoman (3rd hit),f+3 ― b+4
,"df+1,4","f,f+4 ― [ 4~3 ]",,,,,,,,heat on b+1+2~F,,,,,"Alisa's b+3+4,(3+4)","b+2,4 before 2nd hit"
,"FC df+3+4
sidestep 1+2
CH 4
CH f+4
CH db+2
CH ws+1+2
CH (3,1),4","f,f+4",,,,,,,,"heat on df+1,2~F",,,,,"Claudio's f+2,2","f,f+2 (long dash)"
,,,,,,,,,,heat on sidestep 2,"u+1+2 ⏵ (dash)  df+3,2,1 T! ⏵ b+2,2,1+2",,,,"Kuma's f,f+2",f+3
,,,,,db+4,  A low poke that leads to pressure similar to f+4.  ,,,,,,,,,"Heihachi's f,f+2",df+2
,,,,,d+1+2,"   Useful low against opponents that try to stop your offense 
 with high attacks or power crushes.   ",,,,WALL COMBOS,,,,,Jack's d+1+2,...
,,,,,,,,,,GENERAL,"df+3+4,1,2",,,,"Jack's df+1,2,1,2",f+3 ― b+4
,,,,,"f,f+3","  Strong mid launcher to compliment Kazuya's mixups.
 Very useful after Heat Engager or in okizeme.  ",,,,,"b+2,4 ⏵ df+2",,,,King's JGS 4,ws+4 float
,"heat on db+1,2~F","uf+4,4,4,4 NEW",,,,,,,,WITH TORNADO,"df+1,df+2 T! ⏵ df+3+4,1,2",,,,,
,,,,,"f,f+4",  Counterhit launcher that hits grounded opponents.  ,,,,,"f,n,d,df+1+2 T! ⏵ b+2,4 ⏵ df+2",,,,,
,,,,,"f,n,d,df+4,1","  Risky low that knocks down into a strong okizeme.
 It's the cornerstone of Kazuya's mixup game.  ",,,,,,,,,,
,,,,,,,,,,COMBO ENDERS,,,,,,
,,,,,"f,n,d,df+1+2",  Pressure tool with great range.  ,,,,HEAT BURST ENDER,"After 1,2,4,3 you can activate Heat for more wall carry
ending the combo with heat dash will allow for a f,n,d,df+1+2",,,,,
,,,,,EWGF,"_A high launching attack with many applications in the neutral
 It's important for punishment, but can be used for approach
 and as a keepout button. Don't neglect it.",,,,,,,,,,
,,,,,,,,,,WALL CARRY OPTIONS,"It's worth learning the 3,1,DF cancel into df+1,4 for wall carry
when close to the wall, you can use df+1,4 or b+3,1",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,WALL / FLOOR BREAK,"End with f,f,f+3 to break walls and db+2 or f+4 for floor break",,,,,
,,,,,PUNISHERS,,,,,,,,,,,
,,,,,"EWGF speed depends on player's execution
It can punish -13 moves, but is more practical against -15 attacks",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,,,,,,,
,,,,,10,"1,1,2
1,2,2",FC d+1,,,,,,,,,
,,,,,,,,"1,1,2
f,f+2
EWGF",,,,,,,,
,,,,,11,"b+1,2","ws+4,4",,,,,,,,,
,,,,,12,1+2,―,,,,,,,,,
,,,,,13,"db+1,2 (heat)","ws+1,2",,,,,,,,,
,,,,,14,df+2 (range),―,,,,,,,,,
,,,,,15,"EWGF
df+1,4",―,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,16,―,ws+2,,,,,,,,,
