,,,,,,,,,,,,,,,,
,,MARSHALL LAW SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_law
to share tech about this character on Twitter",
,,,,,,,The Legendary Dragon by Applay  ,,,df+2,"4,u+3 ⏵ f,f+4 ⏵ 2 ⏵ f,f+2,3 T! ⏵ 4,3~F ⏵ DSS f+4",,,,,
,,,,,,,,,,uf+4,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,ws+2,,,,,LEGEND,
,"Nunchuck moves are enhanced
DSS gains punch parry properties",,,,uf+3,   A safe low crushing heat engager. Mostly useful in combos.   ,,,,"uf,n,4",,,,,DSS,d+1+2
,,,,,"1,1,1","   Counterhit confirmable heat engager from his jab. 
 Can be used to challenge situations due to its speed.   ",,,,CH f+1+2,,,,,,"hold forward after
certain moves to shift to DSS"
,,,,,,,,,,advanced staple,"4,u+3 ⏵ (dash) 4,3~F ⏵ uf+2 ⏵ (dash) 1+2 T! ⏵ 
4,3~F ⏵ DSS 4",,,,,
,COMMAND GRABS,,,,"b+1,2,2","   Mid counterhit confirmable heat engager. Both the 2nd and 
 3rd hits are unsafe, but it can shift to DSS by inputting 
 b+1,2~F.   ",,,,,,,,,Slide,"FC df,d,df+3"
,f+2+3,1 escape,,,,,,,,"CH 1+2
(or heat on 1+2)","4,u+3 ⏵ b+2,3,4~F ⏵ DSS f+4",,,,,
,uf+1+2,1+2 escape,,,,,,,,,,,,,MATCHUP PUNISHMENT,
,"f,f+3+4",1+2 escape,,,DSS f+1,   Fast but unsafe heat engager from DSS.   ,,,,LOW PARRY,,,,,Slide,ws+4 float
,DSS uf+1+2,1+2 escape,,,DSS f+3,"   Another mid heat engager from stance, but slower and safe.   ",,,,,,,,,Asuka's b+3,uf+3
,,,,,,,,,,MORE COMBOS,,,,,"Kazuya db+1,2",uf+3
,DEFENSIVE OPTIONS,,,,RECOMMENDED MOVES,,,,,sidestep 3+4,"4,u+3 ⏵ f,f+4 ⏵ 2 ⏵ f,f+2,3 T! ⏵ 4,3~F ⏵ DSS f+4",,,,"Ling RDS f+3+4,3+4","d+2,3"
,b+1+3,Parry,,,1,"   Quick jab to check situations and start your offense. 
 It also has several useful extensions.   ",,,,CH f+3+4,,,,,Ling AOP 3+4,ws+4 float
,,hold forward to enter DSS,,,,,,,,"CH (d+1),3",,,,,"evade Leo's b+1,4",sidestep left 2nd hit
,b+2+4,Reversal,,,df+1,"   Mid poke to harass the opponent. The df+1,2 extension 
 can be used for punishment situations.   ",,,,CH DSS f+2,,,,,Paul's Deathfist,"3+4,4 (close range)"
,b+1+2,Power crush,,,,,,,,"f,f+3+4 (throw)",,,,,Demoman (3rd hit),heat burst
,heat on d+1+2,Has punch parry properties,,,df+2,"   This launcher doesn't work on crouching opponents, but can 
 be used as a keepout button and to punish mistakes.   ",,,,"CH df+4,3","4,u+3 ⏵ b+2,3,4~F ⏵ DSS f+4",,,,"Alisa's b+3+4,(3+4)",...
,,,,,,,,,,"CH ws+4,3",,,,,"Claudio's f+2,2",...
,GUARANTEED FOLLOW-UPS,,,,f+1+2,"   Mid counterhit launcher useful for pressure. You can shift 
 to a crouching position by inputting f+1+2~D, allowing you to 
 use quick options such as ws+4~F for pressure.   ",,,,"(b+2,3),4","1+2 T! ⏵ (sidestep left) ⏵ (d+1+2) DSS 3 ⏵ 
b+2,3,4~F ⏵ DSS f+4",,,,"Kuma's f,f+2",...
,"CH sidestep 3
CH DSS 1
CH ws+3","3+4,4 ― DSS f+1 (heat)",,,,,,,,CH f+[ 2~1 ],,,,,"Heihachi's f,f+2",...
,,,,,,,,,,CH BT 2,,,,,Jack's d+1+2,...
,,,,,"1+2
(and heat on 1+2)","   An unsafe mid counterhit launcher. Mostly useful as a 
 guaranteed follow-up after certain knockdown situations. 
 During heat, this move turns into a safe normal hit launcher 
 becoming more useful in the neutral.   ",,,,UF+4,"uf+1 ⏵ 4,u+3 ⏵ f,f+4 ⏵ 1+2 T! ⏵ 4,3~F ⏵ DSS f+4",,,,"Jack's df+1,2,1,2",...
,"f,f+3
b+1+2
CH uf+2
CH (2,2),2
CH (b+2),2
CH BT d+4
FC df,d,df+3
heat on DSS f+1~F",1+2,,,,,,,,"UF+4,3","(sidestep left) ⏵ (d+1+2) DSS 3 ⏵ b+2,3,4~F ⏵ DSS f+4",,,,King's JGS 4,...
,,,,,,,,,,"CH 4,3~F","DSS f+2 ⏵ df+1,2 ⏵ 1+2 T! ⏵ 4,3~F ⏵ DSS f+4",,,,,
,,,,,,,,,,"CH 4,3,4~F","uf+2 ⏵ f,f+4 ⏵ 1+2 T! ⏵ 4,3~F ⏵ DSS f+4",,,,,
,,,,,"db+3 and d+4,3",   Low pokes to harass opponents that stand block too much.   ,,,,"CH 4,u+3","2 ⏵ f,f+4 ⏵ 1+2 T! ⏵ 4,3~F ⏵ DSS f+4",,,,,
,,,,,"DSS (d+1+2)
and transitions","   Many of Law's moves can shift to DSS by holding forward 
 often improving their frame advantage. Make sure to learn 
 your stance options so you can use these transitions to 
 pressure and mix your opponents.   ",,,,heat on uf+3~F,"4,u+3 ⏵ df+1,2 ⏵ df+1,2 ⏵ f,f+4 ⏵ 1+2 T! ⏵
4,3~F ⏵ DSS f+4",,,,,
,,,,,,,,,,"heat on CH 1,1,1~F",,,,,,
,,,,,,,,,,"heat on CH b+1,2,2~F",,,,,,
,"CH d+3,3
CH DSS 4",(dash) 1+2,,,,,,,,heat on DSS f+3,,,,,,
,,,,,"FC df,d,df+3","   Slide attack that is the core of his full crouch mixup game. 
 You can crouch next to the opponent when you have a read 
 they will play defensively, then mix this low with his ws+2 
 or other safer options.   ",,,,,,,,,,
,"CH ws+4~F
CH (f+3),1~F",DSS 1,,,,,,,,WALL COMBOS,,,,,,
,,,,,,,,,,GENERAL,"4,3~F ⏵ DSS f+3",,,,,
,"(2,b+2,1),2~D","FC df,d,df+3",,,,,,,,,"b+2,3,d+4",,,,,
,,,,,,,,,,,"f+3,1~F ⏵ DSS 1+2",,,,,
,,,,,PUNISHERS,,,,,WITH TAILSPIN,"1+2 ⏵ 4,3~F ⏵ DSS f+3",,,,,
,,,,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,,"b+2,3,4~F ⏵ DSS 3 ⏵ 1,2,2,1+2 (delay last hit)",,,,,
