,,,,,,,,,,,,,,,
,,Seeker of Truth 1.6,,HEAT ENGAGERS,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_leo
when sharing tech about this character
on Twitter",
,,LEO KLIESEN,,"b+2,1+2",_Useful in punish situations,,,,df+2,"f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,,
,,by applay,,"ws+4,1+2",_Useful in punish situations,,,,uf+4,,,,,,
,,,,"KNK 1,2",_Heat Engager from stance,,,,"uf,n,4",,,,,,
,HEAT SYSTEM (unique),,,BOK 1+2,_Heat Engager from stance with Power Crush properties,,,,ws+2,,,,,LEGEND,
,"1. Can perform Lightning Glare moves
at any time during Heat",,,"db+2,4",_Useful as a whiff punisher,,,,CH d+2,,,,,KNK,f+4
,,,,,,,,,db+3,"f+3 ⏵ f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,BOK,d+1+2
,,,,IMPORTANT MOVES,,,,,CH df+2+3,"ws+3 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,,
,COMMAND GRABS,,,1,_Quick jab to start offense. Has extensions,,,,LOW PARRY,"4 ⏵ b+1,4~DF ⏵ ws+3 ⏵ f+4~DF 2,4",,,,MATCHUP PUNISHMENT,
,uf+1+2,1+2 escape,,df+1,_Mid poke. Has an extension to discourage retaliation,,,,,,,,,Slide,
,,,,d+2,_Counterhit launcher that can also be used to pressure,,,,MORE COMBOS,,,,,Asuka's b+3,
,DEFENSIVE OPTIONS,,,qcf+1,_Low poke with good range and counterhit properties,,,,"f,f+4","f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,"Kazuya db+1,2",
,ub+1,Kick Parry,,"db+4,1",_Risky low option that can knock opponents down,,,,"f,f+4,3","b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,Ling Calli Roll,
,b+1+3,Parry,,"f,f+2",_Long range mid attack for approaching,,,,"CH (f,f+4,3),4","qcf+3 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,Ling AOP 3+4,
,b+2+4,Reversal,,df+3,_Homing Attack to check sidestep. Can wallsplat,,,,,,,,,"Leo's b+1,4",
,b+2+3,Has punch parry properties,,db+3,_Evasive launching attack,,,,CH db+4,"qcf+3 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,Paul's Deathfist,f+1+2
,1+2,Power Crush,,,,,,,CH f+1+2,,,,,Demoman (3rd hit),
,,,,PUNISHERS,,,,,BOK 2,"f+3 ⏵ f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,"Alisa's b+3+4,3+4",
,GUARANTEED FOLLOW-UPS,,,STARTUP,STANDING,CROUCHING,WHIFF PUNISHERS,,CH ub+3,"f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,"Claudio's f+2,2",
,FC df+3,d+1+2 ⏵ BOK 2,,10,"1,4",FC d+1,"1,4",,"BOK 1,2","4 ⏵ b+1,4~DF ⏵ ws+3 ⏵ f+4~DF 2,4",,,,"Kuma's f,f+2",
,"uf+2,1","d+4,2",,11,"2,2","ws+4,1+2 (heat)",df+2,,CH f+3+4,,,,,"Heihachi's f,f+2","db+2,4"
,"(df+1),2",d+4,,13,"uf+1,2",ws+1+2,"db+2,4",,,,,,,Jack's d+1+2,
,CH df+2+3,FC df+3,,,,"uf+1,2",,,KNK 3,"f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,"Jack's df+1,2,1,2",
,CH 4,f+1+2,,14,"f+2,2",...,,,"KNK 3,4","4 ⏵ b+1,4~DF ⏵ ws+3 ⏵ f+4~DF 2,4",,,,King's JAG 4,ws+3 float
,"CH (df+1),2",,,,"b+2,1+2 (heat)",,,,CH KNK 2,"qcf+3 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,...,
,"CH (b+4),1 NEW",,,15,df+2,ws+2,,,CH KNK 4~DF,"ws+3 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,,
,"CH (ws+3,1),2",,,16,"db+2,4 (heat)
(range)",...,,,CH KNK 1+2,"f+3 ⏵ f+2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵ f+4~DF 2,4",,,,,
,BOK 3,d+3+4,,,,,,,,,,,,,
,"CH (f+2),2",,,23,"uf,n,4","uf,n,4",,,"heat dash db+2,4~F","b+1,1+2 ⏵ 2 ⏵ b+1,1+2~D ⏵ BOK 1,2 T! ⏵
b+4,[ 1~4 ]~DF 2,4",,,,,
