,,,,,,,,,,,,,,,,
,,LEROY SMITH SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_leroy
to share tech about this character on Twitter",
,,,,,,,Grandmaster of Drip by Applay  ,,,"df+2,1+2
(against Kuma and Panda)","f,f+3 ⏵ 2,2 ⏵ f+3,1+2,4 T! ⏵ f,f+3 ⏵ b+3+4",,,,,
,,,,,,,,,,,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,"df+2,1+2","qcf+2 ⏵ 2,2 ⏵ f+3,1+2,4 T! ⏵ f,f+3 ⏵ b+3+4",,,,LEGEND,
,"Chip damage is enhanced on multi-hit attacks.
Successful parries recover heat meter.
b+1+2 and 1+4 are enhanced.",,,,"1+2,1+2,1","   Hit confirmable heat engager. Useful for punishment and 
 to fish for a heat engager in the neutral.   ",,,,ws+2,,,,,HRM,"3+4
(3+4 to exit stance)"
,,,,,,,,,,"f,f+2,2",,,,,,
,,,,,"f+4,4","   A long ranged heat engager. Good for whiff punishment 
 but be careful when using it, as opponents can crouch under 
 its second hit.   ",,,,CH b+1+2,,,,,,
,,,,,,,,,,uf+4,"df+4,3 ⏵ d+3,2 ⏵ HRM 2,3 T! ⏵ f,f+3 ⏵ b+3+4",,,,MATCHUP PUNISHMENT,
,CANE,,,,,,,,,(once per match) f+2+3 ,"f,f+3 ⏵ 2,2 ⏵ f+3,1+2,4 T! ⏵ f,f+3 ⏵ b+3+4",,,,Slide,ws+3 float
,"Can only be used ONCE per game
db+2+3 hits low while f+2+3 hits mid.",,,,d+1+2,   Safe long range mid attack to fish for heat engager.   ,,,,(once per match) db+2+3 ,"f,f+3 ⏵ 2,2 ⏵ uf+3+4,1+2",,,,Asuka's b+3,...
,,,,,db+1+2,   A mid attack with parry properties. Unsafe on block.   ,,,,df+3+4,,,,,"Kazuya db+1,2",df+3+4
,,,,,"HRM 1+2,1",   Heat engager from stance. Mostly useful as a follow-up.   ,,,,LOW PARRY,,,,,"Ling RDS f+3+4,3+4","1,2,1 ― uf+3+4,1+2"
,COMMAND GRABS,,,,,,,,,,,,,,Ling AOP 3+4,ws+3 float
,uf+1+2,1+2 escape,,,RECOMMENDED MOVES,,,,,MORE COMBOS,,,,,"evade Leo's b+1,4",...
,,,,,1,"   Quick jab to check situations and start offense. It has 
 several useful extensions.  ",,,,qcf+2,"df+4,3 ⏵ d+3,2 ⏵ HRM 2,3 T! ⏵ f,f+3 ⏵ b+3+4",,,,Paul's Deathfist,"f+4,4 ― f,f+2,2 (hard)"
,DEFENSIVE OPTIONS,,,,,,,,,CH HRM b+4,,,,,Demoman (3rd hit),"f,f+2,2 (hard)"
,"b+2
(or HRM b+2)",Strong parry,,,df+1,"   Quick mid poke to check situations. Alternatively, you can 
 use df+4 which shifts to HRM.  ",,,,HRM f+4,"qcf+2 ⏵ 2,2 ⏵ f+3,1+2,4 T! ⏵ f,f+3 ⏵ b+3+4",,,,"Alisa's b+3+4,(3+4)",...
,,,,,,,,,,"CH (f,f+4),2",,,,,"Claudio's f+2,2","f,f+2,2 (long dash)"
,ub+2,Has parry properties,,,b+1+2,"   A fast mid counterhit launcher, useful to challenge situations
 This move is enhanced during heat, giving you a knockdown 
 on normal hit.   ",,,,"CH FC df+4,1",,,,,"Kuma's f,f+2",...
,db+1+2,Has parry properties,,,,,,,,CH HRM b+1,,,,,"Heihachi's f,f+2","f+4,4 ― f,f+2,2 (hard)"
,uf+1,Has parry properties,,,,,,,,"CH HRM (1),2",,,,,Jack's d+1+2,...
,HRM 1,Has parry properties,,,"db+3 and d+3,2","   Low attacks that shift to HRM for pressure and mixups. 
 db+3 is safe on block, allowing you to use HRM b+2 to 
 stop retaliation.   ",,,,"CH (db+1),3","d+3,2 ⏵ HRM 2,3 T! ⏵ f,f+3 ⏵ b+3+4",,,,"Jack's df+1,2,1,2",...
