,,,,,,,,,,,,,,,
,,Silent Assassin PENDING UPDATE,,HEAT ENGAGERS,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_nina
when sharing tech about this character
on Twitter",
,,NINA WILLIAMS,,"f+4,2", Hit confirmable Heat Engager,,,,df+2,"uf+4 ⏵ uf+3 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,,
,,by applay,,"f+3+4,1", ?,,,,b+1+4,,,,,,
,,,,db+1+2, Mostly useful as a punisher or follow-up,,,,CH qcf+1,"(dash)  uf+4 ⏵ uf+3 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,,
,HEAT SYSTEM (unique),,,wr+1+2, Approach and pressure tool that enters Heat,,,,uf+1,"ws+1 ⏵ uf+3 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,LEGEND,
,"1. Handgun moves are enhanced
2. Gains access to Kiss Shot Penetrator (b+1+2)",,,qcf+2, Ground hitting attack. Launches as Heat Dash,,,,ws+2,"uf+3 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,Can Opener,"uf+4,3,4"
,,,,,,,,,"uf+2,1","db+2 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,backsway,qcb
,,,,IMPORTANT MOVES,,,,,CH qcf+3,"df+3,2 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,croucdash,qcf
,COMMAND GRABS,,,1,_Quick jab to start offense,,,,"CH sidestep 4,2","db+2 ⏵ df+3,2~F ⏵ ws+1 ⏵ qcf+4,3,1,+2",,,,,
,df+1+3,1 escape,,df+1,"_Mid pokes to check situations, has extensions",,,,LOW PARRY,,,,,MATCHUP PUNISHMENT,
,df+2+4,2 escape,,b+4,_Good keepout button,,,,,,,,,Slide,"ws+1 or FC d+4,1 float"
,f+1+3,Goes into chain throw. 1 escape,,db+3 ― d+2,_Low pokes to harass the opponent,,,,MORE COMBOS,,,,,Asuka's b+3,db+3+4 ― f+1+2
,f+2+4,Goes into chain throw. 2 escape,,uf+1,_Safe launcher that jumps over lows,,,,ws+3+4 ― db+3+4,"uf+4 ⏵ uf+3 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,"Kazuya db+1,2",db+3+4 ― f+1+2
,uf+1+2,1+2 escape,,qcf+1,_Long range attack that launches on counter,,,,CH b+4,"b+1+4 ⏵ uf+4 ⏵ uf+3 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,Ling Calli Roll,
,"df,df+1",1+2 escape,,b+1+2,_Mid attack that removes recoverable health,,,,CH f+3,"db+2 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,Ling AOP 3+4,"ws+1 or FC d+4,1 float"
,qcb+1+3 / 2+4,Goes into chain throw. Unescapable,,"f+4,sidestep",_Useful to approach and start pressure with sidestep,,,,CH db+2,,,,,"Leo's b+1,4",
,,,,,,,,,"CH (1,2),4",,,,,Paul's Deathfist,f+1+2
,DEFENSIVE OPTIONS,,,PUNISHERS,,,,,"CH (df+1,2),4",,,,,Demoman (3rd hit),f+1+2
,b+1+3 (or b+2+4),Reversal,,STARTUP,STANDING,CROUCHING,WHIFF PUNISHERS,,qcb+4,"db+2 ⏵ df+3,2~F ⏵ ws+1 ⏵ qcf+4,3,1,+2",,,,"Alisa's b+3+4,3+4",b+1+4 before 2nd hit
,f+1+2 (or ws+1+2),Power crush,,10,"1,4",FC d+1,"b+1,4",,"CH (b+1),4",,,,,"Claudio's f+2,2","f,f+2 (long dash)"
,,,,11,db+1+2,ws+4,"b+3+4,1+2",,"CH f,f+3","qcf+1 ⏵ df+3,2 ⏵ b+3+4,3 T! ⏵ qcf+4,3,1+2",,,,"Kuma's f,f+2",db+3+4 ― f+1+2
