,,,,,,,,,,,,,,,,
,,PAUL PHOENIX SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_paul
to share tech about this character on Twitter",
,,,,,,,Hot-Blooded Destroyer by Applay  ,,,df+2,"4 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,,
,,,,,,,,,,uf+4,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,CH db+2,,,,,LEGEND,
,"Phoenix Smasher moves are enhanced
Hold moves such as d+1,2 and b+2,1
gain guard break properties
Gains access to f,f+2,1+2 heat extension",,,,qcf+2,"  Deadly mid heat engager for whiff punishment.
 During Heat state, this move gets enhanced and becomes
 safer to use. Up close, mix it with d+4,2:1+2
 Heat Dash can be used to turn it into a full launcher.  ",,,,b+3,"3 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,DPD,"df+3+4 (or qcf,df)"
,,,,,,,,,,ws+2,,,,,backsway,qcb
,,,,,,,,,,CH qcb+4,"qcf+1 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,Deathfist,qcf+2
,,,,,,,,,,,,,,,Demoman,"d+4,2:1+2"
,,,,,f+2,"  Very fast high heat engager. Can be used in punish situations
_and to fish for a heat activation.  ",,,,"uf+3,4","df+4 ⏵ 3,2~B backsway 1+2 T! ⏵ (df+3+4) DPD df+1 ⏵ f,f,f+2",,,,,
,COMMAND GRABS,,,,,,,,,LOW PARRY,"qcf+1 ⏵ df+4 ⏵ d+4,2:1+2",,,,MATCHUP PUNISHMENT,
,"2+4,b",2 escape,,,f+4,"  Safe mid homing heat engager. Has the benefit of possibly
_jumping over incoming low attacks.  ",,,,,,,,,Slide,ws+4 float
,"df+1+3,qcf+2",1 escape,,,,,,,,MORE COMBOS,,,,,Asuka's b+3,qcf+2
,b+1+4,1 escape,,,uf+2,"  High jumping attack, useful to approach enemies with.  ",,,,"f,f+4","ws+3 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,"Kazuya db+1,2","f+3,1 ― qcf+2"
,uf+1+2,1+2 escape,,,qcb+2,  Safe mid heat engager out of backsway  ,,,,,,,,,"Ling RDS f+3+4,3+4","uf+3,4"
,"f,f+1+2",1+2 escape,,,,,,,,"(f,f+2),2","3 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,Ling AOP 3+4,ws+4 float
,FC 1+2,1+2 escape,,,RECOMMENDED MOVES,,,,,,,,,,"evade Leo's b+1,4",...
,,,,,1,   Quick jab to check situation and start your offense.  ,,,,qcf+1,"4 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,Paul's Deathfist,"f+3,1 ― qcf+2"
,DEFENSIVE OPTIONS,,,,"df+1
and ws+1,2","   Both these mid pokes can shift to backsway by holding back.
 Mix your options to make it hard for the opponent to predict
 your next move.
 An empty backsway can be used to evade certain retaliations.  ",,,,"CH (qcb+3,2),3",,,,,Demoman (3rd hit),df+4 ― qcf+2 (hard)
,b+1+3 (or b+2+4),Reversal,,,,,,,,qcb+1+2,"qcf+1 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵ 
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,"Alisa's b+3+4,(3+4)",...
,b+1+2,Power crush,,,,,,,,CH qcb+1,,,,,"Claudio's f+2,2",...
,db+1+2,Power crush,,,,,,,,"CH (b+1),2 (full hold)",,,,,"Kuma's f,f+2",...
,,,,,"DPD df+4
and qcf+3","   Low moves with a lot of range. Good for approaching and
 to mix the opponent.   ",,,,"CH (ws+3),2",,,,,"Heihachi's f,f+2","f+3,1"
,GUARANTEED FOLLOW-UPS,,,,,,,,,qcf+1+2,"qcf+1 ⏵ df+4 ⏵ d+4,2:1+2",,,,Jack's d+1+2,...
,CH qcf+3 (clean),"d+4,2:1+2",,,df+2,"   Safe mid launcher that can be used as a whiff punisher
 or as a button to keep opponents from approaching.  ",,,,DPD df+1,,,,,"Jack's df+1,2,1,2",...
,"qcb+1
CH (b+2),1 NEW
CH FC df+4",db+2,,,,,,,,CH qcf+3+4,,,,,King's JGS 4,...
,,,,,f+1+2,"   A slow mid attack that can be used for pressure. It can shift
 to deep dive by holding df  ",,,,"CH (df+3),4","(dash) qcb+3,2,1 T! ⏵ (df+3+4) DPD df+1 ⏵ qcf+2",,,,,
,,,,,,,,,,heat on f+2~F,"qcf+1 ⏵ df+4 ⏵ 3,2 ⏵ df+4 ⏵ 3,2~B  backsway 1+2 T! ⏵
(df+3+4) DPD df+1 ⏵ f,f,f+2",,,,,
,CH 4,(dash) db+2,,,qcb+4,"   Homing high that is also useful as a keep out move.
 It launches on counterhit and has more range than df+2.  ",,,,heat on f+4~F,,,,,,
,"CH f,f,f+2",,,,,,,,,heat on uf+2~F,,,,,,
,db+1+2,qcf+2,,,db+2,   Useful button to hit opponents off the ground.  ,,,,heat on qcf+2~F,,,,,,
,qcf+3+4,,,,"f,f+2 series","  An approach attack with many different follow-ups and
 cancels. During Heat state, it gains a very safe-to-use
 extension in f,f+2,1+2  ",,,,heat on qcb+2~F,,,,,,
,"(df+1,1),2",,,,,,,,,,,,,,,
,sidestep 1,,,,,,,,,WALL COMBOS,,,,,,
,CH f+1+2,,,,,,,,,GENERAL,"3,2 ⏵ d+1+2",,,,,
,CH df+4,d+1+2 ― f+2 (heat),,,PUNISHERS,,,,,,1 ⏵ qcf+2,,,,,
,CH d+1+2,d+1+2,,,STARTUP,STANDING,CROUCHING,WHIFF PUNISHERS,,WITH TAILSPIN,"qcf+3+4 T! ⏵ 3,2 ⏵ d+1+2",,,,,
