,,,,,,,,,,,,,,,
,,Shadow Agent 1.8,,HEAT ENGAGERS,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_raven
when sharing tech about this character
on Twitter",
,,RAVEN,,1+2,_Safe mid Heat Engager,,,,"df+2,3","f,f+4 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,,
,,by applay,,"f,f+2",_Safe mid Heat Engager,,,,df+2,"BT f+3 ⏵ f,f+4 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,,
,,,,BT 4,_Safe mid Heat Engager from stance,,,,qcf+4,,,,,,
,HEAT SYSTEM (unique),,,SZN 2,_Safe mid Heat Engager from stance,,,,"f,f+3","df+2,3 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,LEGEND,
,"1. Additional follow-up to some Doppelganger moves
2. Doppelgangers regen meter on hit and are safer
3. Additional follow for his f,f,f+3 move",,,ws+3+4,_Has homing properties. Unsafe on block.,,,,ws+1,,,,,SZN,d+3+4
,,,,,,,,,CH ws+2,,,,,BT,b+3+4
,,,,IMPORTANT MOVES,,,,,f+4,"f,f+4 ⏵ 4,1 ⏵ BT 2,1~F 1,2",,,,,
,,,,1,_Quick jab to start offense and check situations,,,,"ws+3,2",,,,,MATCHUP PUNISHMENT,
,COMMAND GRABS,,,df+1,_Good mid poke to check situations,,,,BT d+3,,,,,Slide,
,df+1+4,1 escape,,"db+2,1",_The first hit can be used to enter Back turned stance,,,,LOW PARRY,,,,,Asuka's b+3,
,uf+1+2,1+2 escape,,"3,3",_Poke string with a counterhit launching follow-up,,,,,,,,,"Kazuya db+1,2",
,,,,b+1,_Pressure move that shifts to SZN stance,,,,MORE COMBOS,,,,,Ling Calli Roll,
,DEFENSIVE OPTIONS,,,"f+2,3",_Safe long range attack that can go into SZN,,,,[ 3~4 ],"BT 3 ⏵ db+2,1⏵ b+2,4,2 T! ⏵ b+2,4,2",,,,Ling AOP 3+4,
,b+1+3 ― b+2+4,Escapes any attacks but RAGE ART,,qcf+4,_Good keepout move,,,,"uf+3+4,4","db+2,1 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,"Leo's b+1,4",
,"b,b+2",Has parry properties,,ws+2,_A safe counterhit launcher from crouching position ,,,,uf+3,"df+2,3 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,Paul's Deathfist,"f+2,3 ― f,f+4"
,BT f+1+2,Parries punches and kicks,,FC df+3+4,_Big low that enables his full crouch mixup game,,,,[ 4~3 ],,,,,Demoman (3rd hit),
,,,,,,,,,"BT f,f+3+4 (far)",,,,,"Alisa's b+3+4,3+4",
,GUARANTEED FOLLOW-UPS,,,PUNISHERS,,,,,"BT f,f+3+4 (close)","BT f+2,4,2 T! b+2,4,2",,,,"Claudio's f+2,2",
,"f,f,f+3",BT 1+2,,STARTUP,STANDING,CROUCHING,WHIFF PUNISHERS,,,,,,,"Kuma's f,f+2",
,b+3,b+3,,10,"2,4",FC d+1,"f+2,3",,CH df+3,"f,f+3 ⏵ f,f+4 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,"Heihachi's f,f+2","f+2,3"
,SZN 1+2,,,11,...,ws+4,"4,1",,CH SZN 4,"f,f+4 ⏵ db+2,1~D SZN 3,2 T! ⏵ b+2,4,2",,,,Jack's d+1+2,
,BT 1+2,"f,f+2",,12,"4,1",...,df+2,,"CH (3,3),4","f,f+3 ⏵ db+2,1 ⏵ b+2,4,2",,,,"Jack's df+1,2,1,2",
,"CH (f+3),2",,,13,"db+2,1",ws+2,,,"CH (b+2,2),3","4,1 ⏵ BT 1 ⏵ b+2,4,2 T! ⏵ b+2,4,2",,,,King's JAG 4,ws+1 float
,CH db+3,uf+3,,14,"df+1,4",ws+1,,,"CH qcf+1,3~4","SZN 3,2 T! ⏵ db+2,1 ⏵ b+2,4,2",,,,...,
,CH db+4,,,,1+2 (heat),,,,,,,,,,
,"CH (uf+4),4",,,15,f+4,...,,,heat dash 1+2~F,"f,f+3 ⏵ f,f+4 ⏵ df+2,3 ⏵ db+2,1~D SZN 3,2 T!
⏵ b+2,4,2",,,,,
,BT b+3,BT f+3+4,,,"df+4,4,3",,,,heat dash BT 4~F,,,,,,
,CH FC df+3,,,16,df+2,"ws+3,2",,,heat dash SZN 2~F,,,,,,
,CH qcf+2,"df+1,4 ― 1+2 (heat)",,,,,,,heat dash ws+3+4~F,,,,,,
,CH BT f+3,,,,,,,,"during heat f,f,f+3,4","b+3+4 ⏵ f,f+3 ⏵ db+2,1 ⏵ b+2,4,2",,,,,
,"BT (f+2),3",,,,,,,,,,,,,,
,,,,,,,,,WALL COMBOS,,,,,,
,,,,,,,,,GENERAL,"db+2,1 ⏵ 1+2",,,,,
,,,,,,,,,,"BT 3+4 ⏵ uf+3+4,4,2",,,,,
,,,,,,,,,WITH TORNADO,"qcf+1,2 T! ⏵ (b+3+4) ⏵ BT 3+4 ⏵ 1,2,4",,,,,
,,,,,,,,,,...,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,COMBO ENDERS,,,,,,
,,,,,,,,,FOR DMG,"SNZ 1+2 ⏵ f,f+2","BT 2,1~F 1,2","BT 2,1~F 3",,,
,,,,,,,,,WALL CARRY,"qcf+1,2","4,1","f,f+4",,,
,,,,,,,,,WALL BREAK,"f,f+2",BT 1+2,f+4,,,
,,,,,,,,,FLOOR BREAK,b+1,BT f+3+4,"df+1,4",,,
