,,,,,,,,,,,,,,,,
,,SHAHEEN SEASON 2,,,,,,,,MOST IMPORTANT COMBOS,,,,,"Use #T8_shaheen
to share tech about this character on Twitter",
,,,,,,,Desert Falcon by Applay  ,,,df+2,"3,DF SNK 2 ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,,
,,,,,,,,,,uf+4,,,,,,
,WHEN HEAT IS ON,,,,HEAT ENGAGERS,,,,,ws+2,,,,,LEGEND,
,"Al-Ghul d*u+2 gains guard break properties.
Regains heat meter after hitting the opponent
with Hornet / Flash Hornet.",,,,b+1,  Safe mid heat engager with really good range.  ,,,,intermediate route,"3,DF SNK 2 ⏵ df+4,1,DF (db cancel)  ws+3,3 T! ⏵
FC df+2 ⏵ f,f+3",,,,SNK,df+3+4
,,,,,uf+1,"  Low crushing heat engager that gives you a small advantage
 on block. The attack can be cancelled by holding down.
•This is useful for closing the gap in some oki situations.  ",,,,,,,,,,"the stance can be
cancelled by pressing db"
,,,,,,,,,,uf+3,"db+2,DF SNK 2 ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,,
,,,,,,,,,,CH b+4,"d+3,DF SNK 2 ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,,
,COMMAND GRABS,,,,"db+2,1","  Mostly useful in punishment situations.
 You can shift to SNK by inputting db+2,DF.  ",,,,LOW PARRY,"3,DF SNK 2 ⏵ df+4,1,DF SNK 3",,,,MATCHUP PUNISHMENT,
,uf+1+2,1+2 escape,,,,,,,,,,,,,Slide,ws+1 float
,,,,,"SNK df+1,3","   Can be used as a follow-up after CH f+3,DF but also
 to track sidestepping opponents during SNK mixups  ",,,,MORE COMBOS,,,,,Asuka's b+3,b+4 (except max range)
,DEFENSIVE OPTIONS,,,,,,,,,"CH 4,1","d+2 ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,"Kazuya db+1,2",...
,b+1+3 (or b+2+4),Punch parry,,,SNK 1+2,"  Mid heat engager from stance that gives you advantage
 on block. Great option for mixups during stance.  ",,,,"CH (4),3","3,DF ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,"Ling RDS f+3+4,3+4","1,2,4 ― uf+4"
,,,,,,,,,,"CH FC (df+4),1",,,,,Ling AOP 3+4,ws+1 float
,GUARANTEED FOLLOW-UPS,,,,,,,,,CH f+3,"d+3,DF ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,"evade Leo's b+1,4",...
,"CH f+3,DF","SNK df+1,3",,,RECOMMENDED MOVES,,,,,db+4,"db+2,DF ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,Paul's Deathfist,b+4 ― b+3+4
,CH sidestep 1+2,(dash) b+4,,,1,"  Quick jab to start offense and check situations.
_1,2,2 can be used to catch aggressive opponents.  ",,,,"CH (1,2),2",,,,,Demoman (3rd hit),b+4
,"df+3
d*u+2
(4),4",b+4,,,,,,,,"f,f+3 (or SNK 3)","3,DF SNK 2 ⏵ df+4,1,DF SNK 3",,,,"Alisa's b+3+4,(3+4)",df+2 before 2nd hit
,,,,,df+1,  Mid poke to harass the opponent.  ,,,,"CH db+3,4",,,,,"Alisa's b+4,4,(3)","f,f+3"
,,,,,d+3,"  Low poke with a lot of range that can shift to SNK stance
_by pressing d+3,DF. Useful to create stance mixup after it.  ",,,,,,,,,"Claudio's f+2,2",uf+1
,"CH ws+1
CH SNK 1","f,b+2
df+4,3
db+2,1 (heat)",,,,,,,,"CH (f+2),4","d+3,DF SNK 2 ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,"Kuma's f,f+2",b+3+4 (except max range)
,,,,,d+4 ― sidestep 2,"  Low pokes to harass the opponent. They don't create as
_much pressure as d+3 does, but are safer on block.  ",,,,"CH (f+2),4,4","db+2,DF ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,"Heihachi's f,f+2",b+3+4
,,,,,,,,,,"CH (f+2,4),4","d+2 ⏵ df+4,1,DF SNK df+1,2 T! ⏵ db+2,DF SNK 3",,,,Jack's d+1+2,b+3+4 (except max range)
,"CH b+3
CH SNK 4
CH (f+2,4),4","df+4,3
db+2,1 (heat)",,,df+2,"  Safe launching uppercut useful for keepout and punishment.
_This move can't launch crouching opponents however.  ",,,,,,,,,"Jack's df+1,2,1,2",b+4
,,,,,,,,,,heat on b+1~F,...,,,,King's JGS 4,"FC df+4,1 float"
,,,,,f+4,  High homing attack that knocks down for a follow-up.  ,,,,heat on uf+1~F,...,,,,,
,"heat on db+2,1~F
heat on 
SNK df+1,3~F","b+4
f,f,f+2",,,b+4,  A mid attack to hit grounded opponents. Unsafe on block.  ,,,,heat on SNK 1+2~F,...,,,,,
,,,,,"f,f,f+2",  Good button for approaching and create pressure on block.  ,,,,heat on d*u+2,"3,DF SNK 2 ⏵ df+4,1,DF SNK 3",,,,,
,,,,,heat on d*u+2,"  This move doesn't require you to be in a crouching state
_just to hold down for a brief moment.
_Becomes a guard break move during heat, giving you a
_guaranteed f+2,3 for massive frame advantage, or f,b+2
_to remove recoverable health.  ",,,,,,,,,,
,"heat on f,f+1+2",SNK 2,,,,,,,,WALL COMBOS,,,,,,
,,,,,,,,,,GENERAL,"df+4,1,3 (delay last hit)",,,,,
,,,,,,,,,,,"4,1 ⏵ d+3",,,,,
,,,,,,,,,,WITH TORNADO,"db+4 T! ⏵ df+4,1,3 (delay last hit)",,,,,
,,,,,"FC df,d,df+3","  Slide attack that knocks down for a guaranteed follow-up.
_Mix this low with other full crouch options when up-close.  ",,,,,"db+4 T! ⏵ 4,1 ⏵ d+3",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,COMBO ENDERS,,,,,,
,,,,,PUNISHERS,,,,,HEAT BURST ENDER,"After T!, follow with FC df+2 ⏵ Heat Burst ⏵ b+3+4~F ⏵ f,f,f+2",,,,,
,,,,,STARTUP,STANDING,CROUCHING,"SUGGESTED
WHIFF PUNISHERS",,WALL CARRY OPTIONS,"Use db+3,4 for far wall carry, and d+2 when the wall is near.",,,,,
,,,,,10,"2,3",FC d+1,,,FLOOR / WALL BREAK,"You can use f,f,f+2 for wall break, and b+1 to break floor.",,,,,
,,,,,11,―,ws+4,"1,2
db+2,1
uf+4",,,,,,,,
,,,,,12,"f+2,3",―,,,,,,,,,
,,,,,13,"4,1
f,b+2 (perfect)","ws+3,3",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,14,"df+4,3
db+2,1 (heat)
b+2",―,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,15,"df+2
uf+4",uf+4,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,16,b+3+4 (long range),ws+2,,,,,,,,,
